apartment_name,school_name,distance_meters,distance_km
경향빌라트,서울연희초등학교,90.53593582,0.09
경향파크,서울구현초등학교,86.93199186,0.09
경헌그린아파트,서울장곡초등학교,422.3588422,0.42
경희,서울신강초등학교,215.11686082,0.22
경희궁의아침2단지,수도사랑의학교,542.26011085,0.54
경희궁의아침3단지,서울덕수초등학교,555.67912072,0.56
경희궁의아침4단지,서울덕수초등학교,446.19815946,0.45
경희궁파크팰리스,수도사랑의학교,474.004504,0.47
계룡아파트,서울두산초등학교,168.64316051,0.17
계명(1075-31),서울신월초등학교,98.08778878,0.10
계명(350-33),화원중학교,330.37461147,0.33
계명(350-34),화원중학교,333.69554821,0.33
계명(849-7),서울신정초등학교,359.39389321,0.36
계명가동,서울화일초등학교,315.27425773,0.32
계명가동(343-65),서울신정초등학교,586.05348555,0.59
계명위너스,서울백석초등학교,100.72012981,0.10
계영주택(738-27),서울영일초등학교,275.86821832,0.28
고덕 아이파크,서울묘곡초등학교,191.22905383,0.19
고덕골든빌(101동),서울공릉초등학교,338.55949869,0.34
고덕골든빌(102동),서울공릉초등학교,324.77125024,0.32
고덕골든빌(103동),서울공릉초등학교,308.0601142,0.31
고덕리엔파크1단지,서울고덕초등학교,492.0882372,0.49
고덕리엔파크2단지,강명중학교,462.18668765,0.46
고덕리엔파크3단지,서울강명초등학교,253.86093239,0.25
고덕삼환아파트,명일여자고등학교,202.15668775,0.20
고덕주공9,서울대명초등학교,107.58569602,0.11
고려,서울염리초등학교,201.86615301,0.20
고려아파트(A동),성덕고등학교,67.3515782,0.07
고려아파트(A동),성덕여자중학교,67.3515782,0.07
고려아파트(D동),성덕고등학교,68.29368729,0.07
고려아파트(D동),성덕여자중학교,68.29368729,0.07
고명,고명외식고등학교,152.7972329,0.15
고명,매원초등학교,152.7972329,0.15
고명,고명중학교,152.7972329,0.15
고운아파트,경인중학교,279.97486159,0.28
고은,서울고은초등학교,108.37786451,0.11
고척LIG리가1차,서울덕의초등학교,362.7426625,0.36
고척LIG리가2차,목동고등학교,379.66364805,0.38
고척LIG리가2차,봉영여자중학교,379.66364805,0.38
고척월드메르디앙,고척중학교,389.80883138,0.39
고척파크푸르지오,서울덕의초등학교,190.95401265,0.19
골드마인(가동),구로중학교,318.65741786,0.32
골드마인(나동),구로중학교,304.2038241,0.30
골드빌,인수중학교,436.80780839,0.44
골드빌4차,동신중학교,244.59175825,0.24
골드스타,서울갈현초등학교,303.6238568,0.30
골드아트빌,서울방배초등학교,149.71686944,0.15
골드팰리스아파트,송파중학교,93.20375352,0.09
골드하임(102동),서울천동초등학교,111.00366684,0.11
골든빌(210-10),경성고등학교,340.60076057,0.34
골든빌(210-10),경성중학교,340.60076057,0.34
골든빌(210-10),홍익디자인고등학교,340.60076057,0.34
골든빌(99-1),봉은중학교,266.69943096,0.27
골든빌6차,서울성서초등학교,244.8228406,0.24
공감대,태릉중학교,468.17137042,0.47
공감대(378-3),장평중학교,271.09604234,0.27
공감대(380-1),장평중학교,279.1606131,0.28
공감대(440-12),서울안평초등학교,360.50788178,0.36
